Date,kWh,Total
2018-07-30,593 ,57.59 
2018-08-30,796 ,78.03 
2018-09-27,879 ,87.66 
2018-10-29,996 ,98.25 
2018-11-29,638 ,65.88 
2018-12-29,534 ,56.46 
2019-01-30,562 ,60.02 
2019-02-27,516 ,55.96 
2019-03-28,571 ,61.07 
2019-04-29,737 ,76.80 
2019-05-29,942 ,95.81 
2019-06-27,936 ,95.31 
2019-07-29,931 ,94.87 
2019-08-29,934 ,93.87 
2019-09-27,657 ,68.55 
2019-10-29,942 ,94.59 
2019-11-27,588 ,61.68 
2019-12-30,550 ,58.77 
2020-01-30,559 ,57.44 
2020-02-27,523 ,54.28 
2020-03-27,606 ,61.55 
2020-04-28,807 ,79.15 
2020-05-28,654 ,50.93 
2020-06-29,894 ,87.12 
2020-07-29,852 ,83.42 
2020-08-28,885 ,86.33 
2020-09-29,863 ,84.39 
2020-10-28,627 ,63.64 
2020-11-28,530 ,55.14 
2020-12-30,436 ,46.87 
2021-01-30,437 ,48.09 
2021-02-26,464 ,50.53 
2021-03-30,489 ,52.81 
2021-04-28,494 ,53.27 
2021-05-27,660 ,70.90 
2021-06-28,743 ,78.75 
2021-07-29,703 ,74.97 
2021-08-30,794 ,83.55 
2021-09-29,709 ,75.55 
2021-10-28,589 ,64.19 
2021-11-29,399 ,46.23 
2021-12-21,403 ,46.63 
2022-01-27,365 ,49.90 
2022-02-26,443 ,58.60 
2022-03-30,391 ,52.80 
2022-04-28,501 ,65.06 
2022-05-27,646 ,81.22 
2022-06-28,803 ,98.72 
2022-07-28,731 ,90.69 
2022-08-29,786 ,96.82 
2022-09-28,748 ,92.59 
2022-10-28,537 ,69.09 
2022-11-29,564 ,72.09 
2022-12-29,461 ,60.62 
2023-01-27,403 ,56.34 
2023-02-27,436 ,61.98 
2023-03-29,483 ,67.63 
2023-04-28,605 ,91.20 
2023-05-31,755 ,108.05 
2023-06-29,819 ,116.39 
